#
#
# US Geological Survey
# retrieved: 2023-09-25 10:15:24 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2023-09-25 10:15:24 EDT
#
# there are 684 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
USGS	430402089261301	DN-07/09E/21-0042
USGS	430402089282000	SOUTH KENOSHA DRIVE STORM SEWER AT MADISON, WI
USGS	430404089321000	ELDERBERRY ROAD RAIN GAGE NEAR MIDDLETON, WI
USGS	430405089243101	DN-07/09E/22-0051
USGS	430406089232901	DN-07/09E/23-1297
USGS	430406089233301	DN-07/09E/23-0036
USGS	430409089234601	DN-07/09E/23-6212
USGS	430411089272801	DN-07/09E/20-0081
USGS	430412089241501	CHARTER ST. POWER PLANT STORM SEWER AT MADISON, WI
USGS	430412089245001	DN-07/09E/22-1178
USGS	430414089225301	DN-07/09E/24-0848
USGS	430414089225302	DN-07/09E/24-0849
USGS	430414089225303	DN-07/09E/24-0869
USGS	430414089282501	DN-07/09E/19-0068
USGS	430415089245001	DN-07/09E/22-1179
USGS	430417089185501	DN-07/10E/16-0087
USGS	430417089185502	DN-07/10E/16-0980
USGS	430417089224901	DN-07/09E/24-0835
USGS	430417089254001	DN-07/09E/21-1177
USGS	430420089252001	DN-07/09E/15-1175
USGS	430422089224401	DN-07/09E/24-0865
USGS	430423089291401	OWEN PARK RAIN GARDEN AT MADISON, WI
USGS	430423089291402	OWEN PARK RAIN GARDEN WEATHER STATION @ MADISON,WI
USGS	430424089254601	DN-07/09E/21-1093
USGS	430425089260001	DN-07/09E/21-1176
USGS	430425089260901	DN-07/09E/21-0052
USGS	430426089171701	DN-07/10E/15-0280
USGS	430427089284901	DN-07/09E/19-0064
USGS	430428089325701	WEST OLD SAUK ROAD STORM SEWER AT MADISON, WI
USGS	430429089230301	DN-07/09E/23-0005
USGS	430430089223701	DN-07/09E/13-0926
USGS	430430089223702	DN-07/09E/13-0935
USGS	430430089242701	DN-07/09E/22-1180
USGS	430432089290701	DN-07/08E/13-0058
USGS	430432089300701	DN-07/08E/13-1137
USGS	430432089313401	OLD SAUK ROAD RAIN GARDEN AT MADISON, WI
USGS	430432089313402	OLD SAUK RD RAIN GARDEN WEATHER SITE AT MADISON,WI
USGS	430435089325901	BEAR CLAW WAY STORM SEWER AT MADISON, WI
USGS	430436089114701	BORING MP25S
USGS	430438089114701	BORING MP24S
USGS	430440089223400	MG&E STORMWATER FILTER OUTLET AT MADISON, WI
USGS	430440089223401	MG&E STORMWATER FILTER BYPASS AT MADISON, WI
USGS	430440089223500	MG&E STORMWATER FILTER INLET AT MADISON, WI
USGS	430440089281001	DN-07/09E/18-0715
USGS	430440089281401	DN-07/09E/18-0324
USGS	430441089290701	DN-07/08E/13-0842
USGS	430441089290702	DN-07/08E/13-0884
USGS	430445089222001	DN-07/09E/13-0048
USGS	430450089224901	DN-07/09E/13-0007
USGS	430450089230101	DN-07/09E/13-0049
USGS	430451089202201	LAKE MONONA, EAST BAY, AT MADISON, WI
USGS	430451089273901	DN-07/09E/17-0909
USGS	430453089280001	DN-07/09E/18-0003SP
USGS	430453089352401	DN-07/08E/17-0275
USGS	430454089340001	DN-07/08E/07-0272
USGS	430455089182201	DN-07/10E/10-0307
USGS	430456089115801	DN-07/11E/09-0063
USGS	430456089190601	DN-07/10E/09-0105
USGS	430456089190602	DN-07/10E/09-1481
USGS	430456089190603	DN-07/10E/09-1482
USGS	430456089224101	DN-07/09E/13-0045
USGS	430458089280900	SPRING HARBOR BEACH ON LAKE MENDOTA AT MADISON, WI
USGS	430506089120701	DN-07/11E/09-1069
USGS	430507089340201	DN-07/08E/17-0956
USGS	430509089324401	DN-07/08E/16-0972
USGS	430509089341401	DN-07/08E/17-0955
USGS	430511089164701	DN-07/10E/11-0076
USGS	430513089250501	DN-07/09E/16-0959
USGS	430515089250501	DN-07/09E/15-0095
USGS	430515089300601	STONEFIELD INFILTRATION POND AT MIDDLETON
USGS	430516089195000	OLBRICH BEACH ON LAKE MONONA AT MADISON, WI
USGS	430516089345101	DN-07/08E/17-1484
USGS	430518089205901	HIGH DENSITY RESIDENTIAL STORM SEWER @ MADISON, WI
USGS	430519089263001	DN-07/09E/16-0303
USGS	430520089214301	DN-07/10E/07-0273
USGS	430521089255801	DN-07/09E/16-0968
USGS	430522089255801	DN-07/09E/09-0983
USGS	430524089301901	TIEDMAN POND AT MIDDLETON
USGS	430527089202001	DN-07/10E/05-0054
USGS	430527089202002	DN-07/10E/05-0979
USGS	430527089202003	DN-07/10E/05-0133
USGS	430531089351401	DN-07/08E/07-0224
USGS	430532089315401	DEMO CREEK at Byrd's Campground
USGS	430532089315500	METEOROLOGICAL SITE AT USGS OFFICE AT MIDDLETON,WI
USGS	430532089315601	BIO CELL SS-INLET-AT USGS OFFICE AT MIDDLETON, WI
USGS	430532089315602	BIO CELL SS-OUTLET-AT USGS OFFICE AT MIDDLETON, WI
USGS	430532089315603	BIO CELL SS-INLET QW-@ USGS OFFICE @ MIDDLETON, WI
USGS	430532089315604	BIO CELL SS-OUTLET QW-@ USGS OFFICE @ MIDDLETON,WI
USGS	430532089351401	DN-07/08E/07-1404
USGS	430534089305801	DN-07/08E/11-0119
USGS	430534089305802	DN-07/08E/11-0107
USGS	430535089320501	DN-07/08E/10-0940
USGS	430536089305201	DN-07/08E/11-0056
USGS	430536089344501	DN-07/08E/08-1483
USGS	430537089214001	DN-07/10E/06-0050
USGS	430538089304701	DN-07/08E/11-0339
USGS	430540089294001	DN-07/08E/12-0921
USGS	430544089342201	DN-07/08E/08-1239
USGS	430545089305001	DN-07/08E/11-0205
USGS	430545089311901	DN-07/08E/10-0093
USGS	430549089190001	DN-07/10E/04-0139
USGS	430558089221001	DN-07/09E/12-0067
USGS	430600089272001	LAKE MENDOTA, WEST BAY, AT MADISON, WI
USGS	430609089190101	DN-07/10E/04-0136
USGS	430611089201701	ROSEMARY STREET APTS PARKING LOT, MADISON, WI
USGS	430613089182701	DN-07/10E/04-0302
USGS	430614089202301	SALVATION ARMY CMMNTY CTR PARKING LOT, MADISON, WI
USGS	430614089203201	E WASHINGTON GAS STN PARKING LOT MADISON WI
USGS	430615089285701	DN-07/08E/01-0214
USGS	430616089182701	DN-07/10E/04-0311
USGS	430618089201401	WIDOC PARKING LOT AT COMMERCIAL AVE, MADISON, WI
USGS	430619089173101	DN-07/10E/03-0130
USGS	430625089212401	DN-08/10E/31-0892
USGS	430626089194001	DN-08/10E/32-0113
USGS	430626089321001	DN-07/08E/03-0946
USGS	430627089185501	DN-08/10E/33-0084
USGS	430628089305001	GW QUALITY ASSURANCE-NAWQA WAREHOUSE-MIDDLETON, WI
USGS	430628089352301	DN-07/08E/06-0937
USGS	430630089212201	DN-08/10E/31-0075
USGS	430631089212801	DN-08/10E/31-0074
USGS	430633089212701	DN-08/10E/31-0125
USGS	430633089351600	MORELS RAIN GAGE ON AIRPORT ROAD NEAR MIDDLETON,WI
USGS	430638089353101	DN-07/08E/06-1136
USGS	430639089282501	DN-07/09E/06-0129
USGS	430640089320300	AIRPORT ROAD STORM SEWER AT MIDDLETON, WI
USGS	430642089311901	Pheasant Br Trib at Airport Rd nr Middleton, WI
USGS	430645089183501	DN-08/10E/33-1188
USGS	430646089312501	Airport Road MW-A3
USGS	430648089212201	DN-08/10E/31-1061
USGS	430648089324101	PHEASANT BR TRIB AT TALLARD PARK NR MIDDLETON, WI
USGS	430649089181200	PERMEABLE PAVEMENT INFLUENT AT MADISON, WI
USGS	430649089181211	PERMEABLE PAVEMENT CELL 1 DRAIN TILE AT MADISON,WI
USGS	430649089181212	PERMEABLE PAVEMENT CELL 1 OVERFLOW @ MADISON, WI
USGS	430649089181221	PERMEABLE PAVEMENT CELL 2 DRAIN TILE @ MADISON, WI
USGS	430649089181222	PERMEABLE PAVEMENT CELL 2 OVERFLOW @ MADISON, WI
USGS	430649089181231	PERMEABLE PAVEMENT CELL 3 DRAIN TILE @ MADISON, WI
USGS	430649089181232	PERMEABLE PAVEMENT CELL 3 OVERFLOW @ MADISON, WI
USGS	430650089164501	DN-08/10E/35-0938
USGS	430650089212601	DN-08/10E/31-1105
USGS	430651089224201	DN-07/09E/01-0102
USGS	430651089381201	DN-07/07E/02-1062
USGS	430653089313601	Airport Road MW-A2
USGS	430654089300501	DN-07/08E/02-0368
USGS	430656089225701	DN-07/09E/01-0100
USGS	430656089312701	Airport Road MW-Z3
USGS	430657089300501	DN-07/08E/02-0698
USGS	430658089265201	DN-07/09E/05-0132
USGS	430700089311001	Highwood Circle MW-1
USGS	430700089311002	Highwood Circle MW-2
USGS	430700089311003	Highwood Circle MW-3
USGS	430700089311004	Highwood Circle MW-4
USGS	430700089311005	Highwood Circle MW-5
USGS	430700089311006	Highwood Circle MW-6
USGS	430700089311007	Highwood Circle MW-7
USGS	430700089311008	Highwood Circle MW-8
USGS	430700089311009	Highwood Circle MW-9
USGS	430700089311010	Highwood Circle MW-10
USGS	430701089313601	Airport Road MW-A1
USGS	430702089313101	Airport Road MW-Z2
USGS	430702089322501	Airport Road MW-Z1
USGS	430704089264001	DN-07/09E/05-0949
USGS	430705089213801	DN-08/10E/31-0053
USGS	430707089214802	DN-08/10E/31-0128
USGS	430710089183400	TARGET EAST STORM SEWER AT MADISON, WI
USGS	430710089330001	Capitol View Road MW-S1
USGS	430712089222301	DN-08/09E/36-0055
USGS	430714089270901	DN-08/09E/32-0840
USGS	430715089182901	LIEN RD NR EAGAN RD PARKING LOT MADISON, WI
USGS	430717089190801	DN-08/10E/28-0916
USGS	430718089190701	DN-08/10E/28-0930
USGS	430718089291501	DN-08/08E/36-1440
USGS	430719089381600	BREWERY CREEK-MIDSTREAM RUNOFF-AT CROSS PLAINS, WI
USGS	430725089183401	EAGAN RD NR E TOWNE BLVD PARKING LOT MADISON, WI
USGS	430729089185401	DN-08/10E/28-0143
USGS	430731089261701	DN-08/09E/33-0089
USGS	430734089174801	JOANN FABRIC COMM ROOF DRAIN TILE AT MADISON, WI
USGS	430734089291500	TRIB TO PHEASANT BRANCH TRIB SITE2 AT MIDDLETON,WI
USGS	430739089072101	DN-08/12E/30-1108
USGS	430740089323001	Church Road MW-Z1
USGS	430741089193501	DN-08/10E/29-0085
USGS	430747089225101	DN-08/09E/36-0070
USGS	430748089181800	EAST WASHINGTON AVENUE STORM SEWER AT MADISON, WI
USGS	430750089233001	HARPER STREET BASIN DRIVEWAYS AT MADISON, WI
USGS	430750089233002	HARPER STREET BASIN LAWNS AT MADISON, WI
USGS	430750089233003	HARPER STREET BASIN ROOFS AT MADISON, WI
USGS	430750089233004	HARPER ST. BASIN LOW TREE CANOPY ST. @ MADISON, WI
USGS	430750089233005	HARPER ST. BASIN MED. TREE CANOPY ST. @ MADISON,WI
USGS	430750089233006	HARPER ST. BASIN HIGH TREE CANOPY ST. @ MADISON,WI
USGS	430751089230101	DN-08/09E/35-0040
USGS	430751089372000	BREWERY CREEK RAIN GAGE 3 NEAR CROSS PLAINS, WI
USGS	430753089203801	DN-08/10E/29-0072
USGS	430753089204901	OUTFALL 34 @ INTL LN @ DCRA (MSN) MADISON, WI
USGS	430756089071901	DN-08/12E/30-1281
USGS	430756089231801	DN-08/09E/35-0006
USGS	430758089183101	DN-08/10E/28-0847
USGS	430758089230401	DN-08/09E/35-0061
USGS	430758089242901	DN-08/09E/34-0077
USGS	430759089222301	DN-08/09E/36-0118
USGS	430800089200000	CLIMATOLOGICAL DATA AT MADISON, WI
USGS	430800089200001	MADISON, WI   WBAP                        W14837
USGS	430800089240001	DN-08/09E/35-1186
USGS	430802089235001	DN-08/09E/26-0008
USGS	430802089330201	Airport Road MW-S1
USGS	430803089174301	DN-08/10E/22-0953
USGS	430805089240001	DN-08/09E/26-1185
USGS	430807089171701	DN-08/10E/27-1106
USGS	430807089255401	DN-08/09E/28-0894
USGS	430817089222501	DN-08/09E/25-0044
USGS	430821089193501	DN-08/10E/20-0060
USGS	430823089330300	COUNTY TRUNK HIGHWAY K RAIN GAGE AT ASHTON, WI
USGS	430825089203401	DANE CO. REGIONAL AIRPORT, MADISON, WIS.
USGS	430825089204601	DN-08/10E/19-0115
USGS	430832089234101	DN-08/09E/26-0041
USGS	430844089223102	DN-08/09E/25-0310
USGS	430847089172101	DN-08/10E/22-1100
USGS	430848089214301	DN-08/09E/25-0308
USGS	430849089100201	DN-08/11E/23-0969
USGS	430854089150401	DN-08/10E/24-0886
USGS	430854089223101	CHEROKEE PARK EAST POND INFLUENT @MADISON,WI
USGS	430855089223401	DN-08/09E/25-0372
USGS	430855089224701	CHEROKEE PARK WEST POND INFLUENT @MADISON,WI
USGS	430856089223301	Cherokee Park East Pond Middle
USGS	430859089224701	CHEROKEE PARK WEST POND EFFLUENT SITE2 @MADISON,WI
USGS	430900089223201	CHEROKEE PARK EAST POND EFFLUENT SITE @MADISON,WI
USGS	430900089225601	CHEROKEE PARK WEST POND EFFLUENT SITE1 @MADISON,WI
USGS	430900089355400	BREWERY CREEK RAIN GAGE 2 NEAR CROSS PLAINS, WI
USGS	430904089095201	DN-08/11E/23-0430
USGS	430904089215501	DN-08/09E/24-0943
USGS	430909089313401	DN-08/08E/22-0838
USGS	430916089224300	CHEROKEE PARK AMBIENT AIR TEMPERATURE @ MADISON,WI
USGS	430918089251801	DN-08/09E/22-0839
USGS	430941089254001	DN-08/09E/21-0970
USGS	430944089231501	DN-08/09E/23-1104
USGS	430952089260301	DN-08/09E/16-0057
WI009	431001089084401	SAVANNAH VALLEY MONITORING WELL MW-04
WI009	431001089084402	DN-08/11E/12-6012
WI009	431002089083501	SAVANNAH VALLEY MONITORING WELL MW-01
WI009	431002089084101	SAVANNAH VALLEY MONITORING WELL MW-03
USGS	431002089215501	DN-08/09E/13-1067
WI009	431003089083901	DN-08/11E/12-6013
WI009	431003089085001	SAVANNAH VALLEY MONITORING WELL MW-05
WI009	431005089083701	SAVANNAH VALLEY MONITORING WELL MW-02
WI009	431007089085001	SAVANNAH VALLEY MONITORING WELL MW-06
WI009	431008089084401	SAVANNAH VALLEY MONITORING WELL MW-20
WI009	431008089084402	SAVANNAH VALLEY LS2-LYSIMETER
WI009	431009089084201	SAVANNAH VALLEY MONITORING WELL MW-21
WI009	431009089084301	SAVANNAH VALLEY MONITORING WELL MW-22
WI009	431009089084302	SAVANNAH VALLEY LS5-LYSIMETER
WI009	431009089084303	SAVANNAH VALLEY MONITORING WELL MW-11
USGS	431009089352101	DN-08/07E/13-0099
WI009	431010089084301	SAVANNAH VALLEY MONITORING WELL MW-23
USGS	431010089360000	BREWERY CREEK RAIN GAGE 1 NEAR CROSS PLAINS, WI
WI009	431011089083701	SAVANNAH VALLEY MONITORING WELL MW-10
WI009	431011089084701	DN-08/11E/12-6014
WI009	431012089084701	SAVANNAH VALLEY MONITORING WELL MW-07
USGS	431014089262900	BASE BMP SAMPLER AT WAUNAKEE, WI
WI009	431015089084201	SAVANNAH VALLEY MONITORING WELL MW-09
WI009	431016089084901	SAVANNAH VALLEY MONITORING WELL MW-08
USGS	431016089263000	ADVANCED BMP SAMPLER AT WAUNAKEE, WI
USGS	431045089151601	DN-08/10E/01-0941
USGS	431051089352101	DN-08/08E/07-0098
USGS	431053089123901	DN-08/11E/05-0028
USGS	431053089123902	DN-08/11E/05-0120
USGS	431053089352801	DN-08/08E/07-1109
USGS	431058089244901	DN-08/08E/10-1110
USGS	431107089124401	DN-08/11E/05-0114
USGS	431110089273901	DN-08/09E/08-0914
USGS	431123089091601	DN-08/11E/02-0367
USGS	431127089120001	DN-08/11E/04-1091
USGS	431128089264801	COOPER RD @ S DIVISION ST PARKING LOT WAUNAKEE, WI
USGS	431130089265201	DN-08/09E/08-0027
USGS	431136089133001	DN-08/11E/05-0421
USGS	431137089133001	DN-08/11E/05-0888
USGS	433043089260101	DN-07/09E/33-0942
USGS	435850089273401	DN-06/09E/20-0069
